latitude,longitude,occurrenceDate
10.97431,-84.33826,2011-12-28T23:00:00.000+0000
10.96669,-84.332,2011-12-08T23:00:00.000+0000
10.97431,-84.33826,2011-12-09T23:00:00.000+0000
10.97431,-84.33826,2011-12-08T23:00:00.000+0000
10.97431,-84.33826,2011-12-09T23:00:00.000+0000
10.96669,-84.332,2011-12-08T23:00:00.000+0000
10.97431,-84.33826,2011-12-07T23:00:00.000+0000
10.97431,-84.33826,2011-12-08T23:00:00.000+0000
8.36338,-80.12733,2010-01-19T23:00:00.000+0000
10.4502,-84.0677,2010-01-28T23:00:00.000+0000
10.4288,-84.0128,2010-01-27T23:00:00.000+0000
10.4288,-84.0128,2010-01-22T23:00:00.000+0000
10.4288,-84.0128,2010-01-22T23:00:00.000+0000
8.04631,-77.88371,2010-02-21T23:00:00.000+0000
7.77403,-77.7339,2010-02-04T23:00:00.000+0000
10.12926,-83.99305,2010-02-27T23:00:00.000+0000
8.04631,-77.88371,2010-02-21T23:00:00.000+0000
10.4288,-84.0128,2010-02-03T23:00:00.000+0000
10.45528,-84.00171,2010-02-15T23:00:00.000+0000
7.75775,-77.68422,2010-02-01T23:00:00.000+0000
8.04631,-77.88371,2010-02-21T23:00:00.000+0000
8.04631,-77.88371,2010-02-21T23:00:00.000+0000
10.4502,-84.0677,2010-02-23T23:00:00.000+0000
10.12926,-83.99305,2010-02-27T23:00:00.000+0000
10.4502,-84.0677,2010-02-24T23:00:00.000+0000
8.04631,-77.88371,2010-02-21T23:00:00.000+0000
10.51549,-83.49335,2010-02-13T23:00:00.000+0000
10.4288,-84.0128,2010-03-14T23:00:00.000+0000
10.4288,-84.0128,2010-03-27T23:00:00.000+0000
15.43515,-85.10937,2010-03-09T23:00:00.000+0000
10.4288,-84.0128,2010-03-23T23:00:00.000+0000
10.33037,-83.95803,2010-02-28T23:00:00.000+0000
10.4308,-84.0063,2010-03-13T23:00:00.000+0000
10.49591,-83.92731,2010-03-11T23:00:00.000+0000
15.4914,-84.96071,2010-03-10T23:00:00.000+0000
10.68636,-84.20616,2010-03-06T23:00:00.000+0000
10.4288,-84.0128,2010-03-25T23:00:00.000+0000
10.55735,-83.73831,2010-03-09T23:00:00.000+0000
10.4308,-84.0063,2010-03-14T23:00:00.000+0000
15.54301,-84.9868,2010-03-11T23:00:00.000+0000
10.55735,-83.73831,2010-03-07T23:00:00.000+0000
10.33789,-83.94859,2010-02-28T23:00:00.000+0000
10.4288,-84.0128,2010-03-30T22:00:00.000+0000
10.35214,-83.97182,2010-02-28T23:00:00.000+0000
10.44383,-84.00714,2010-03-15T23:00:00.000+0000
10.44383,-84.00714,2010-03-15T23:00:00.000+0000
10.4288,-84.0128,2010-03-24T23:00:00.000+0000
10.68515,-84.18112,2010-03-04T23:00:00.000+0000
10.55735,-83.73831,2010-03-08T23:00:00.000+0000
15.6075,-84.92535,2010-03-12T23:00:00.000+0000
10.43129,-84.00634,2010-03-08T23:00:00.000+0000
10.4288,-84.0128,2010-03-26T23:00:00.000+0000
10.4288,-84.0128,2010-04-09T22:00:00.000+0000
10.4288,-84.0128,2010-04-23T22:00:00.000+0000
10.46446,-84.09334,2010-04-29T22:00:00.000+0000
10.46446,-84.09334,2010-04-28T22:00:00.000+0000
10.4288,-84.0128,2010-04-09T22:00:00.000+0000
10.3515,-83.97227,2010-03-31T22:00:00.000+0000
10.4288,-84.0128,2010-04-09T22:00:00.000+0000
10.4288,-84.0128,2010-04-24T22:00:00.000+0000
10.4288,-84.0128,2010-04-22T22:00:00.000+0000
10.53861,-83.5025,2010-04-03T22:00:00.000+0000
10.4288,-84.0128,2010-04-04T22:00:00.000+0000
10.4288,-84.0128,2010-04-24T22:00:00.000+0000
10.4288,-84.0128,2010-04-09T22:00:00.000+0000
10.4288,-84.0128,2010-04-26T22:00:00.000+0000
10.4288,-84.0128,2010-04-09T22:00:00.000+0000
10.4308,-84.0063,2010-04-11T22:00:00.000+0000
10.4288,-84.0128,2010-04-19T22:00:00.000+0000
10.4288,-84.0128,2010-04-09T22:00:00.000+0000
10.4502,-84.0677,2010-04-23T22:00:00.000+0000
10.4288,-84.0128,2010-04-01T22:00:00.000+0000
10.53861,-83.5025,2010-04-11T22:00:00.000+0000
10.4502,-84.0677,2010-03-31T22:00:00.000+0000
10.53861,-83.5025,2010-04-11T22:00:00.000+0000
10.4288,-84.0128,2010-05-25T22:00:00.000+0000
10.32563,-84.0231,2010-05-01T22:00:00.000+0000
10.4288,-84.0128,2010-05-25T22:00:00.000+0000
10.4288,-84.0128,2010-05-25T22:00:00.000+0000
10.68515,-84.18112,2010-05-22T22:00:00.000+0000
10.32062,-84.02567,2010-05-01T22:00:00.000+0000
10.4288,-84.0128,2010-05-24T22:00:00.000+0000
10.32062,-84.02567,2010-05-01T22:00:00.000+0000
10.47127,-84.0686,2010-05-02T22:00:00.000+0000
10.33877,-83.99932,2010-05-01T22:00:00.000+0000
10.32563,-84.0231,2010-05-01T22:00:00.000+0000
10.33877,-83.99932,2010-05-01T22:00:00.000+0000
10.4288,-84.0128,2010-05-01T22:00:00.000+0000
10.29271,-84.01039,2010-06-26T22:00:00.000+0000
10.28173,-84.04489,2010-06-14T22:00:00.000+0000
10.28173,-84.04489,2010-06-19T22:00:00.000+0000
10.41562,-84.12078,2010-06-11T22:00:00.000+0000
10.28173,-84.04489,2010-06-09T22:00:00.000+0000
10.97431,-84.33826,2010-06-26T22:00:00.000+0000
10.4288,-84.0128,2010-07-10T22:00:00.000+0000
10.28173,-84.04489,2010-07-10T22:00:00.000+0000
10.4288,-84.0128,2010-07-02T22:00:00.000+0000
10.4288,-84.0128,2010-07-10T22:00:00.000+0000
10.4288,-84.0128,2010-07-04T22:00:00.000+0000
10.4288,-84.0128,2010-07-04T22:00:00.000+0000
10.68515,-84.18112,2010-06-30T22:00:00.000+0000
10.68515,-84.18112,2010-07-15T22:00:00.000+0000
10.45531,-84.19184,2010-07-24T22:00:00.000+0000
10.45531,-84.19184,2010-07-22T22:00:00.000+0000
10.28173,-84.04489,2010-07-14T22:00:00.000+0000
10.28173,-84.04489,2010-07-10T22:00:00.000+0000
10.68515,-84.18112,2010-07-24T22:00:00.000+0000
10.28173,-84.04489,2010-08-22T22:00:00.000+0000
10.28173,-84.04489,2010-08-22T22:00:00.000+0000
10.28173,-84.04489,2010-08-21T22:00:00.000+0000
10.28173,-84.04489,2010-08-28T22:00:00.000+0000
10.58532,-83.52189,2010-08-27T22:00:00.000+0000
10.28173,-84.04489,2010-09-11T22:00:00.000+0000
10.28173,-84.04489,2010-09-04T22:00:00.000+0000
10.28173,-84.04489,2010-09-01T22:00:00.000+0000
10.28173,-84.04489,2010-09-03T22:00:00.000+0000
10.28173,-84.04489,2010-09-11T22:00:00.000+0000
10.28173,-84.04489,2010-09-01T22:00:00.000+0000
10.28173,-84.04489,2010-09-03T22:00:00.000+0000
10.28173,-84.04489,2010-09-03T22:00:00.000+0000
10.28173,-84.04489,2010-09-01T22:00:00.000+0000
10.28173,-84.04489,2010-09-04T22:00:00.000+0000
10.4288,-84.0128,2010-10-19T22:00:00.000+0000
10.4288,-84.0128,2010-10-23T22:00:00.000+0000
